Наименование устройства;Идентификационный номер;Тип устройства;Номер телефона;Адрес, где находится устройство
;;Устройство ГЛОНАСС;9854241264;
;;Устройство ГЛОНАСС;9854241599;
;;Устройство ГЛОНАСС;9854243602;
;;Устройство ГЛОНАСС;9854241511;
;;Устройство ГЛОНАСС;9854243739;
;;Устройство ГЛОНАСС;9854244011;
;;Устройство ГЛОНАСС;9854243277;
;;Устройство ГЛОНАСС;9854244010;
;;Устройство ГЛОНАСС;9854245818;
;;Устройство ГЛОНАСС;9854244959;
;;Устройство ГЛОНАСС;9854244931;
;;Устройство ГЛОНАСС;9854245318;
;;Устройство ГЛОНАСС;9854245077;
;;Устройство ГЛОНАСС;9854244817;
;;Устройство ГЛОНАСС;9854244779;
;;Устройство ГЛОНАСС;9854245439;
;;Устройство ГЛОНАСС;9854247082;
;;Устройство ГЛОНАСС;9854246236;
;;Устройство ГЛОНАСС;9854246154;
;;Устройство ГЛОНАСС;9854245942;
;;Устройство ГЛОНАСС;9854246717;
;;Устройство ГЛОНАСС;9854246901;
;;Устройство ГЛОНАСС;9854246965;
;;Устройство ГЛОНАСС;9854246672;
;;Устройство ГЛОНАСС;9854246339;
;;Устройство ГЛОНАСС;9854246260;
;;Устройство ГЛОНАСС;9854246362;
;;Устройство ГЛОНАСС;9854246589;
;;Устройство ГЛОНАСС;9854247185;
;;Устройство ГЛОНАСС;9854247852;
;;Устройство ГЛОНАСС;9854247423;
;;Устройство ГЛОНАСС;9854248032;
;;Устройство ГЛОНАСС;9854247174;
;;Устройство ГЛОНАСС;9854247598;
;;Устройство ГЛОНАСС;9854247689;
;;Устройство ГЛОНАСС;9854247815;
;;Устройство ГЛОНАСС;9854247834;
;;Устройство ГЛОНАСС;9854249166;
;;Устройство ГЛОНАСС;9854248870;
;;Устройство ГЛОНАСС;9854248037;
;;Устройство ГЛОНАСС;9854248861;
;;Устройство ГЛОНАСС;9854249035;
;;Устройство ГЛОНАСС;9854248749;
;;Устройство ГЛОНАСС;9854249895;
;;Устройство ГЛОНАСС;9854249930;
;;Устройство ГЛОНАСС;9854248357;
;;Устройство ГЛОНАСС;9854249250;
;;Устройство ГЛОНАСС;9854249801;
;;Устройство ГЛОНАСС;9854249590;
;;Устройство ГЛОНАСС;9854250897;
;;Устройство ГЛОНАСС;9854250979;
;;Устройство ГЛОНАСС;9854251325;
;;Устройство ГЛОНАСС;9854251305;
;;Устройство ГЛОНАСС;9854252090;
;;Устройство ГЛОНАСС;9854251634;
;;Устройство ГЛОНАСС;9854251367;
;;Устройство ГЛОНАСС;9854251652;
